Date,Name,Price,Change_24h,Change_7d,MarketCap,Volume_24h
2025-08-28 03:50:00,Bitcoin,"$113,063.97",0.07%,1.81%,$2.25T,"$2,251,223,108,810"
2025-08-28 03:50:00,Ethereum,"$4,605.03",0.26%,0.56%,$556.17B,"$556,165,792,686"
2025-08-28 03:50:00,XRP,$3.00,0.06%,0.10%,$178.67B,"$178,670,150,153"
2025-08-28 03:50:00,Tether,$1.00,0.14%,0.02%,$167.34B,"$167,343,562,564"
2025-08-28 03:50:00,BNB,$869.84,0.20%,1.45%,$121.07B,"$121,071,602,017"
2025-08-28 03:50:00,Solana,$213.76,0.36%,4.94%,$115.58B,"$115,577,990,010"
2025-08-28 03:50:00,USDC,$0.9999,0.13%,0.02%,$69.3B,"$69,301,590,293"
2025-08-28 03:50:00,Dogecoin,$0.2238,0.23%,1.77%,$33.73B,"$33,732,744,788"
2025-08-28 03:50:00,TRON,$0.3494,0.13%,0.20%,$33.08B,"$33,081,824,846"
2025-08-28 03:50:00,Cardano,$0.8693,0.20%,1.13%,$31.06B,"$31,063,946,822"
2025-08-28 06:27:10,Bitcoin,"$113,427.92",0.49%,1.91%,$2.26T,"$2,255,923,533,788"
2025-08-28 06:27:10,Ethereum,"$4,607.42",0.46%,0.14%,$556.87B,"$556,867,344,853"
2025-08-28 06:27:10,XRP,$3.02,0.44%,0.83%,$179.81B,"$179,807,969,391"
2025-08-28 06:27:10,Tether,$1.00,0.00%,0.00%,$167.37B,"$167,365,850,842"
2025-08-28 06:27:10,BNB,$877.81,0.40%,2.23%,$122.09B,"$122,092,054,358"
2025-08-28 06:27:10,Solana,$214.88,0.87%,5.28%,$116.18B,"$116,184,921,035"
2025-08-28 06:27:10,USDC,$1.00,0.06%,0.05%,$69.33B,"$69,330,516,728"
2025-08-28 06:27:10,Dogecoin,$0.2240,0.20%,2.34%,$33.77B,"$33,772,688,106"
2025-08-28 06:27:10,TRON,$0.3486,0.14%,0.35%,$33B,"$33,003,590,714"
2025-08-28 06:27:10,Cardano,$0.8693,0.15%,1.00%,$31.06B,"$31,062,636,429"
2025-08-28 06:30:02,Bitcoin,"$113,235.02",0.30%,1.72%,$2.26T,"$2,258,663,550,478"
2025-08-28 06:30:02,Ethereum,"$4,600.56",0.29%,0.08%,$556.15B,"$556,147,759,802"
2025-08-28 06:30:02,XRP,$3.02,0.44%,0.86%,$179.82B,"$179,823,224,390"
2025-08-28 06:30:02,Tether,$1.00,0.02%,0.00%,$167.36B,"$167,357,722,435"
2025-08-28 06:30:02,BNB,$877.64,0.40%,2.20%,$122.18B,"$122,181,891,247"
2025-08-28 06:30:02,Solana,$215.83,1.47%,5.78%,$116.7B,"$116,695,816,984"
2025-08-28 06:30:02,USDC,$1.00,0.02%,0.00%,$69.3B,"$69,302,803,259"
2025-08-28 06:30:02,Dogecoin,$0.2244,0.33%,2.44%,$33.83B,"$33,830,827,064"
2025-08-28 06:30:02,TRON,$0.3486,0.14%,0.39%,$33B,"$33,000,793,539"
2025-08-28 06:30:02,Cardano,$0.8707,0.30%,1.12%,$31.11B,"$31,113,819,699"
2025-08-28 06:31:01,Bitcoin,"$113,128.38",0.20%,1.63%,$2.26T,"$2,258,663,550,478"
2025-08-28 06:31:01,Ethereum,"$4,599.79",0.44%,0.18%,$556.15B,"$556,147,759,802"
2025-08-28 06:31:01,XRP,$3.02,0.44%,0.86%,$179.82B,"$179,823,224,390"
2025-08-28 06:31:01,Tether,$1.00,0.02%,0.00%,$167.36B,"$167,357,722,435"
2025-08-28 06:31:01,BNB,$877.75,0.41%,2.22%,$122.18B,"$122,181,891,247"
2025-08-28 06:31:01,Solana,$215.83,1.47%,5.78%,$116.7B,"$116,695,816,984"
2025-08-28 06:31:01,USDC,$1.00,0.02%,0.00%,$69.3B,"$69,302,803,259"
2025-08-28 06:31:01,Dogecoin,$0.2244,0.33%,2.44%,$33.83B,"$33,830,827,064"
2025-08-28 06:31:01,TRON,$0.3486,0.14%,0.39%,$33B,"$33,000,793,539"
2025-08-28 06:31:01,Cardano,$0.8707,0.30%,1.12%,$31.11B,"$31,113,819,699"
2025-08-28 06:32:02,Bitcoin,"$113,128.38",0.20%,1.63%,$2.26T,"$2,258,663,550,478"
2025-08-28 06:32:02,Ethereum,"$4,599.79",0.44%,0.18%,$556.15B,"$556,147,759,802"
2025-08-28 06:32:02,XRP,$3.02,0.44%,0.86%,$179.82B,"$179,823,224,390"
2025-08-28 06:32:02,Tether,$1.00,0.02%,0.00%,$167.36B,"$167,357,722,435"
2025-08-28 06:32:02,BNB,$877.75,0.41%,2.22%,$122.18B,"$122,181,891,247"
2025-08-28 06:32:02,Solana,$215.83,1.47%,5.78%,$116.7B,"$116,695,816,984"
2025-08-28 06:32:02,USDC,$1.00,0.02%,0.00%,$69.3B,"$69,302,803,259"
2025-08-28 06:32:02,Dogecoin,$0.2244,0.33%,2.44%,$33.83B,"$33,830,827,064"
2025-08-28 06:32:02,TRON,$0.3486,0.14%,0.39%,$33B,"$33,000,793,539"
2025-08-28 06:32:02,Cardano,$0.8707,0.30%,1.12%,$31.11B,"$31,113,819,699"
2025-08-28 06:33:02,Bitcoin,"$113,076.39",0.17%,1.57%,$2.25T,"$2,252,698,855,274"
2025-08-28 06:33:02,Ethereum,"$4,603.34",0.21%,0.31%,$555.23B,"$555,226,410,501"
2025-08-28 06:33:02,XRP,$3.01,0.31%,0.64%,$179.53B,"$179,534,352,352"
2025-08-28 06:33:02,Tether,$0.9998,0.02%,0.02%,$167.33B,"$167,334,300,216"
2025-08-28 06:33:02,BNB,$877.52,0.42%,2.17%,$122.19B,"$122,185,552,515"
2025-08-28 06:33:02,Solana,$215.12,1.27%,5.49%,$116.31B,"$116,312,880,402"
2025-08-28 06:33:02,USDC,$0.9998,0.01%,0.01%,$69.29B,"$69,292,328,300"
2025-08-28 06:33:02,Dogecoin,$0.2245,0.41%,2.47%,$33.84B,"$33,839,458,317"
2025-08-28 06:33:02,TRON,$0.3482,0.21%,0.52%,$32.97B,"$32,969,280,308"
2025-08-28 06:33:02,Cardano,$0.8707,0.37%,1.16%,$31.11B,"$31,114,207,968"
2025-08-28 06:34:01,Bitcoin,"$113,076.39",0.17%,1.57%,$2.25T,"$2,252,698,855,274"
2025-08-28 06:34:01,Ethereum,"$4,603.34",0.21%,0.31%,$555.23B,"$555,226,410,501"
2025-08-28 06:34:01,XRP,$3.01,0.31%,0.64%,$179.53B,"$179,534,352,352"
2025-08-28 06:34:01,Tether,$0.9998,0.02%,0.02%,$167.33B,"$167,334,300,216"
2025-08-28 06:34:01,BNB,$877.52,0.42%,2.17%,$122.19B,"$122,185,552,515"
2025-08-28 06:34:01,Solana,$215.12,1.27%,5.49%,$116.31B,"$116,312,880,402"
2025-08-28 06:34:01,USDC,$0.9998,0.01%,0.01%,$69.29B,"$69,292,328,300"
2025-08-28 06:34:01,Dogecoin,$0.2245,0.41%,2.47%,$33.84B,"$33,839,458,317"
2025-08-28 06:34:01,TRON,$0.3482,0.21%,0.52%,$32.97B,"$32,969,280,308"
2025-08-28 06:34:01,Cardano,$0.8707,0.37%,1.16%,$31.11B,"$31,114,207,968"
2025-08-28 06:35:02,Bitcoin,"$113,199.61",0.09%,1.81%,$2.25T,"$2,251,663,746,987"
2025-08-28 06:35:02,Ethereum,"$4,608.66",0.13%,0.39%,$555.65B,"$555,654,541,102"
2025-08-28 06:35:02,XRP,$3.01,0.13%,0.60%,$179.4B,"$179,403,102,071"
2025-08-28 06:35:02,Tether,$1.00,0.00%,0.00%,$167.34B,"$167,335,505,526"
2025-08-28 06:35:02,BNB,$877.49,0.41%,2.19%,$122.15B,"$122,149,935,118"
2025-08-28 06:35:02,Solana,$215.32,1.18%,5.69%,$116.42B,"$116,420,018,869"
2025-08-28 06:35:02,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,292,895,862"
2025-08-28 06:35:02,Dogecoin,$0.2242,0.34%,2.29%,$33.79B,"$33,793,448,176"
2025-08-28 06:35:02,TRON,$0.3480,0.27%,0.56%,$32.94B,"$32,944,959,520"
2025-08-28 06:35:02,Cardano,$0.8695,0.30%,0.96%,$31.07B,"$31,069,884,602"
2025-08-28 06:36:01,Bitcoin,"$113,199.61",0.09%,1.81%,$2.25T,"$2,251,663,746,987"
2025-08-28 06:36:01,Ethereum,"$4,608.66",0.13%,0.39%,$555.65B,"$555,654,541,102"
2025-08-28 06:36:01,XRP,$3.01,0.13%,0.60%,$179.4B,"$179,403,102,071"
2025-08-28 06:36:01,Tether,$1.00,0.00%,0.00%,$167.34B,"$167,335,505,526"
2025-08-28 06:36:01,BNB,$877.49,0.41%,2.19%,$122.15B,"$122,149,935,118"
2025-08-28 06:36:01,Solana,$215.32,1.18%,5.69%,$116.42B,"$116,420,018,869"
2025-08-28 06:36:01,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,292,895,862"
2025-08-28 06:36:01,Dogecoin,$0.2242,0.34%,2.29%,$33.79B,"$33,793,448,176"
2025-08-28 06:36:01,TRON,$0.3480,0.27%,0.56%,$32.94B,"$32,944,959,520"
2025-08-28 06:36:01,Cardano,$0.8695,0.30%,0.96%,$31.07B,"$31,069,884,602"
2025-08-28 06:37:02,Bitcoin,"$113,132.09",0.03%,1.69%,$2.25T,"$2,251,663,746,987"
2025-08-28 06:37:02,Ethereum,"$4,600.91",0.05%,0.36%,$555.65B,"$555,654,541,102"
2025-08-28 06:37:02,XRP,$3.01,0.13%,0.60%,$179.4B,"$179,403,102,071"
2025-08-28 06:37:02,Tether,$1.00,0.00%,0.00%,$167.34B,"$167,335,505,526"
2025-08-28 06:37:02,BNB,$877.49,0.41%,2.19%,$122.15B,"$122,149,935,118"
2025-08-28 06:37:02,Solana,$215.32,1.18%,5.69%,$116.42B,"$116,420,018,869"
2025-08-28 06:37:02,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,292,895,862"
2025-08-28 06:37:02,Dogecoin,$0.2242,0.34%,2.29%,$33.79B,"$33,793,448,176"
2025-08-28 06:37:02,TRON,$0.3480,0.27%,0.56%,$32.94B,"$32,944,959,520"
2025-08-28 06:37:02,Cardano,$0.8695,0.30%,0.96%,$31.07B,"$31,069,884,602"
2025-08-28 06:38:02,Bitcoin,"$113,132.09",0.03%,1.69%,$2.25T,"$2,251,663,746,987"
2025-08-28 06:38:02,Ethereum,"$4,600.91",0.05%,0.36%,$555.65B,"$555,654,541,102"
2025-08-28 06:38:02,XRP,$3.01,0.13%,0.60%,$179.4B,"$179,403,102,071"
2025-08-28 06:38:02,Tether,$1.00,0.00%,0.00%,$167.34B,"$167,335,505,526"
2025-08-28 06:38:02,BNB,$877.49,0.41%,2.19%,$122.15B,"$122,149,935,118"
2025-08-28 06:38:02,Solana,$215.32,1.18%,5.69%,$116.42B,"$116,420,018,869"
2025-08-28 06:38:02,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,292,895,862"
2025-08-28 06:38:02,Dogecoin,$0.2242,0.34%,2.29%,$33.79B,"$33,793,448,176"
2025-08-28 06:38:02,TRON,$0.3480,0.27%,0.56%,$32.94B,"$32,944,959,520"
2025-08-28 06:38:02,Cardano,$0.8695,0.30%,0.96%,$31.07B,"$31,069,884,602"
2025-08-28 06:38:43,Bitcoin,"$113,132.09",0.03%,1.69%,$2.25T,"$2,251,663,746,987"
2025-08-28 06:38:43,Ethereum,"$4,600.91",0.05%,0.36%,$555.65B,"$555,654,541,102"
2025-08-28 06:38:43,XRP,$3.01,0.13%,0.60%,$179.4B,"$179,403,102,071"
2025-08-28 06:38:43,Tether,$1.00,0.00%,0.00%,$167.34B,"$167,335,505,526"
2025-08-28 06:38:43,BNB,$877.49,0.41%,2.19%,$122.15B,"$122,149,935,118"
2025-08-28 06:38:43,Solana,$215.32,1.18%,5.69%,$116.42B,"$116,420,018,869"
2025-08-28 06:38:43,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,292,895,862"
2025-08-28 06:38:43,Dogecoin,$0.2242,0.34%,2.29%,$33.79B,"$33,793,448,176"
2025-08-28 06:38:43,TRON,$0.3480,0.27%,0.56%,$32.94B,"$32,944,959,520"
2025-08-28 06:38:43,Cardano,$0.8695,0.30%,0.96%,$31.07B,"$31,069,884,602"
2025-08-28 06:39:01,Bitcoin,"$113,132.09",0.03%,1.69%,$2.25T,"$2,251,663,746,987"
2025-08-28 06:39:01,Ethereum,"$4,600.91",0.05%,0.36%,$555.65B,"$555,654,541,102"
2025-08-28 06:39:01,XRP,$3.01,0.13%,0.60%,$179.4B,"$179,403,102,071"
2025-08-28 06:39:01,Tether,$1.00,0.00%,0.00%,$167.34B,"$167,335,505,526"
2025-08-28 06:39:01,BNB,$877.49,0.41%,2.19%,$122.15B,"$122,149,935,118"
2025-08-28 06:39:01,Solana,$215.32,1.18%,5.69%,$116.42B,"$116,420,018,869"
2025-08-28 06:39:01,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,292,895,862"
2025-08-28 06:39:01,Dogecoin,$0.2242,0.34%,2.29%,$33.79B,"$33,793,448,176"
2025-08-28 06:39:01,TRON,$0.3480,0.27%,0.56%,$32.94B,"$32,944,959,520"
2025-08-28 06:39:01,Cardano,$0.8695,0.30%,0.96%,$31.07B,"$31,069,884,602"
2025-08-28 06:40:02,Bitcoin,"$113,132.09",0.03%,1.69%,$2.25T,"$2,251,663,746,987"
2025-08-28 06:40:02,Ethereum,"$4,600.91",0.05%,0.36%,$555.65B,"$555,654,541,102"
2025-08-28 06:40:02,XRP,$3.01,0.13%,0.60%,$179.4B,"$179,403,102,071"
2025-08-28 06:40:02,Tether,$1.00,0.00%,0.00%,$167.34B,"$167,335,505,526"
2025-08-28 06:40:02,BNB,$877.49,0.41%,2.19%,$122.15B,"$122,149,935,118"
2025-08-28 06:40:02,Solana,$215.32,1.18%,5.69%,$116.42B,"$116,420,018,869"
2025-08-28 06:40:02,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,292,895,862"
2025-08-28 06:40:02,Dogecoin,$0.2242,0.34%,2.29%,$33.79B,"$33,793,448,176"
2025-08-28 06:40:02,TRON,$0.3480,0.27%,0.56%,$32.94B,"$32,944,959,520"
2025-08-28 06:40:02,Cardano,$0.8695,0.30%,0.96%,$31.07B,"$31,069,884,602"
2025-08-28 06:41:02,Bitcoin,"$113,049.15",0.05%,1.58%,$2.25T,"$2,251,840,581,979"
2025-08-28 06:41:02,Ethereum,"$4,599.22",0.12%,0.04%,$556.06B,"$556,062,299,258"
2025-08-28 06:41:02,XRP,$3.01,0.09%,0.66%,$179.48B,"$179,481,521,348"
2025-08-28 06:41:02,Tether,$1.00,0.00%,0.01%,$167.32B,"$167,320,806,530"
2025-08-28 06:41:02,BNB,$877.75,0.47%,2.28%,$122.13B,"$122,126,258,299"
2025-08-28 06:41:02,Solana,$215.93,1.32%,6.07%,$116.75B,"$116,750,063,059"
2025-08-28 06:41:02,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,291,921,877"
2025-08-28 06:41:02,Dogecoin,$0.2243,0.25%,2.43%,$33.81B,"$33,807,001,536"
2025-08-28 06:41:02,TRON,$0.3480,0.28%,0.51%,$32.95B,"$32,947,305,184"
2025-08-28 06:41:02,Cardano,$0.8696,0.18%,1.06%,$31.07B,"$31,074,198,098"
2025-08-28 06:42:01,Bitcoin,"$113,049.15",0.05%,1.58%,$2.25T,"$2,251,840,581,979"
2025-08-28 06:42:01,Ethereum,"$4,599.22",0.12%,0.04%,$556.06B,"$556,062,299,258"
2025-08-28 06:42:01,XRP,$3.01,0.09%,0.66%,$179.48B,"$179,481,521,348"
2025-08-28 06:42:01,Tether,$1.00,0.00%,0.01%,$167.32B,"$167,320,806,530"
2025-08-28 06:42:01,BNB,$877.75,0.47%,2.28%,$122.13B,"$122,126,258,299"
2025-08-28 06:42:01,Solana,$215.93,1.32%,6.07%,$116.75B,"$116,750,063,059"
2025-08-28 06:42:01,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,291,921,877"
2025-08-28 06:42:01,Dogecoin,$0.2243,0.25%,2.43%,$33.81B,"$33,807,001,536"
2025-08-28 06:42:01,TRON,$0.3480,0.28%,0.51%,$32.95B,"$32,947,305,184"
2025-08-28 06:42:01,Cardano,$0.8696,0.18%,1.06%,$31.07B,"$31,074,198,098"
2025-08-28 06:43:02,Bitcoin,"$113,049.15",0.05%,1.58%,$2.25T,"$2,249,970,915,836"
2025-08-28 06:43:02,Ethereum,"$4,599.22",0.12%,0.04%,$554.67B,"$554,672,962,733"
2025-08-28 06:43:02,XRP,$3.01,0.02%,0.60%,$179.24B,"$179,244,448,837"
2025-08-28 06:43:02,Tether,$1.00,0.02%,0.02%,$167.39B,"$167,386,471,102"
